season,team,week,pythag_exp
2005,IND,9,0.9173203662659324
2005,IND,10,0.906756714001516
2005,IND,11,0.8990041902492711
2005,IND,12,0.8660453268995508
2005,IND,13,0.8770745568634583
2005,IND,14,0.8988306827096506
2005,IND,15,0.8895209717271895
2005,IND,16,0.86271774176801
2005,IND,17,0.8292545979585637
2005,JAX,2,0.8401070880342855
2005,JAX,3,0.6241424844097533
2005,JAX,4,0.645204262812905
2005,JAX,5,0.4787411962209834
2005,JAX,6,0.5079284220170609
2005,JAX,8,0.5447768947802004
2005,JAX,9,0.5210915832976681
2005,JAX,10,0.5508516861962143
2005,JAX,11,0.6537372983564651
2005,JAX,12,0.640846477320227
2005,JAX,13,0.6484694070311912
2005,JAX,14,0.6542399510410246
2005,JAX,15,0.6211702643569726
2005,JAX,16,0.6193354360841071
2005,JAX,17,0.6471161101495226
2005,KC,2,0.9738600700942814
2005,KC,3,0.8772925434495528
2005,KC,4,0.5701262292557505
2005,KC,6,0.5
2005,KC,7,0.5405293786282345
2005,KC,8,0.5804612000295153
2005,KC,9,0.536600100750727
2005,KC,10,0.5458519148472111
2005,KC,11,0.5067673210381665
2005,KC,12,0.5870043386984626
2005,KC,13,0.6058063995927714
2005,KC,14,0.6043280215974348
2005,KC,15,0.5882415290320979
2005,KC,16,0.5625607391397938
2005,KC,17,0.5849820016297724
2005,MIA,2,0.9637264322940372
2005,MIA,3,0.7539015885556781
2005,MIA,5,0.6837345693041702
2005,MIA,6,0.595325557257876
2005,MIA,7,0.4791813500462215
2005,MIA,8,0.42873284085671054
2005,MIA,9,0.5099248036873885
2005,MIA,10,0.4774542448895477
2005,MIA,11,0.4522682894078009
2005,MIA,12,0.37505543494747096
2005,MIA,13,0.4288643470897514
2005,MIA,14,0.43895601844829707
2005,MIA,15,0.44953204909108463
2005,MIA,16,0.4633109607663452
2005,MIA,17,0.4976936457497515
2005,MIN,2,0.16204097234141587
2005,MIN,3,0.05427840273877687
2005,MIN,4,0.27869958171391546
2005,MIN,6,0.20143097941173102
2005,MIN,7,0.13266936701121057
2005,MIN,8,0.1889435449524477
2005,MIN,9,0.15670708303012265
2005,MIN,10,0.22327294113730184
2005,MIN,11,0.2589154211595943
2005,MIN,12,0.28554838187553067
2005,MIN,13,0.332041016386273
2005,MIN,14,0.35648064097194243
2005,MIN,15,0.40040700605159785
2005,MIN,16,0.3693839741113457
2005,MIN,17,0.3657928785384823
2005,NE,2,0.7477497079131517
2005,NE,3,0.5
2005,NE,4,0.5293141009544774
2005,NE,5,0.3590527306495699
2005,NE,6,0.40601105972170365
2005,NE,8,0.3863687032998371
2005,NE,9,0.4176419207691187
2005,NE,10,0.368700096896939
2005,NE,11,0.4004291712901395
2005,NE,12,0.4278526303078495
2005,NE,13,0.408482327945426
2005,NE,14,0.44324274874967995
2005,NE,15,0.5114905396074525
2005,NE,16,0.5719409547710324
2005,NE,17,0.5861617638160926
2005,NO,2,0.5925608581567865
2005,NO,3,0.27933647168081294
2005,NO,4,0.21185951208077886
2005,NO,5,0.3406602951682859
2005,NO,6,0.1418013980292008
2005,NO,7,0.19530602953070778
2005,NO,8,0.1970545488713956
2005,NO,9,0.17663784731345736
2005,NO,11,0.19329561420694533
2005,NO,12,0.20115248257006849
2005,NO,13,0.22591084172471415
2005,NO,14,0.21760622072927635
2005,NO,15,0.20583984971336997
2005,NO,16,0.19316409905392834
2005,NO,17,0.20161256212417672
2005,NYG,2,0.8933911632259934
2005,NYG,3,0.9107683354789142
2005,NYG,4,0.6418721136113658
2005,NYG,6,0.7064495448527098
2005,NYG,7,0.6720704247932842
2005,NYG,8,0.6514167655016657
2005,NYG,9,0.7561906416185261
2005,NYG,10,0.7872385024192439
2005,NYG,11,0.7546988985439886
2005,NYG,12,0.7567167641294825
2005,NYG,13,0.7309292577287911
2005,NYG,14,0.7350242904500199
2005,NYG,15,0.7234106759252859
2005,NYG,16,0.7272478516249716
2005,NYG,17,0.6857057904387933
2005,NYJ,2,0.026139929905718493
2005,NYJ,3,0.28222288992815214
2005,NYJ,4,0.30338818219368735
2005,NYJ,5,0.23504577200285157
2005,NYJ,6,0.29128250011654233
2005,NYJ,7,0.2749607722423422
2005,NYJ,9,0.2486179703620369
2005,NYJ,10,0.2731885215133048
2005,NYJ,11,0.20639863100600045
2005,NYJ,12,0.15628316869247444
2005,NYJ,13,0.17764465689012318
2005,NYJ,14,0.16204097234141587
2005,NYJ,15,0.21499846761617206
2005,NYJ,16,0.2278786381924127
2005,NYJ,17,0.23090882503185844
2005,OAK,2,0.25225029208684824
2005,OAK,3,0.2762534896199206
2005,OAK,4,0.3162654306958298
2005,OAK,6,0.3957560265968511
2005,OAK,7,0.33623188780023733
2005,OAK,8,0.4743489003649662
2005,OAK,9,0.516744608414823
2005,OAK,10,0.5
2005,OAK,11,0.45522310521979953
2005,OAK,12,0.4670657044253927
2005,OAK,13,0.43874894442510026
2005,OAK,14,0.38618203111759747
2005,OAK,15,0.3581278863886343
2005,OAK,16,0.357574496837138
2005,OAK,17,0.3255661579345177
2005,PHI,2,0.28869190937644235
2005,PHI,3,0.9524076631831541
2005,PHI,4,0.8691663810958392
2005,PHI,5,0.7920449714982999
2005,PHI,7,0.6239277775767866
2005,PHI,8,0.6215616027437263
2005,PHI,9,0.48376249200564714
2005,PHI,10,0.4587920925430598
2005,PHI,11,0.45967352329441724
2005,PHI,12,0.4336417800539249
2005,PHI,13,0.4521683298628311
2005,PHI,14,0.351065466768026
2005,PHI,15,0.35674884046451155
2005,PHI,16,0.36638848331371937
2005,PHI,17,0.36423007060661716
2005,PIT,2,0.985735399838662
2005,PIT,3,0.98100623993266
2005,PIT,5,0.8908899332437967
2005,PIT,6,0.8241633611970359
2005,PIT,7,0.7436008172431359
2005,PIT,8,0.7696234154809876
2005,PIT,9,0.7417562376434741
2005,PIT,10,0.7557516727316504
2005,PIT,11,0.7601631020590844
2005,PIT,12,0.7359270369938199
2005,PIT,13,0.6686384876104431
2005,PIT,14,0.6290245147585951
2005,PIT,15,0.650408060886099
2005,PIT,16,0.6781806582485982
2005,PIT,17,0.7456062816123268
2005,SD,2,0.39816332431605916
2005,SD,3,0.39593169495707714
2005,SD,4,0.6256661049518079
2005,SD,5,0.7277345273805178
2005,SD,6,0.6824381125366068
2005,SD,7,0.7100571440116694
2005,SD,8,0.6787305334255836
2005,SD,9,0.6828604815284155
2005,SD,11,0.6745380124628886
2005,SD,12,0.7426866473984824
2005,SD,13,0.7391192735336652
2005,SD,14,0.7667333603257295
2005,SD,15,0.7477497079131518
2005,SD,16,0.7483752015512642
2005,SD,17,0.719867868819914
2005,SEA,2,0.15989291196571456
2005,SEA,3,0.3513078363984484
2005,SEA,4,0.6622914941381888
2005,SEA,5,0.6042439734031488
2005,SEA,6,0.6077952961855214
2005,SEA,7,0.7250392277576578
2005,SEA,9,0.7210248015489056
2005,SEA,10,0.7358968035811813
2005,SEA,11,0.7518705954187177
2005,SEA,12,0.7318793170929176
2005,SEA,13,0.7202216408662715
2005,SEA,14,0.7860303035659971
2005,SEA,15,0.8277290348015643
2005,SEA,16,0.8133505834465622
2005,SEA,17,0.818458486371935
2005,SF,2,0.5753518630985986
2005,SF,3,0.11249648432563361
2005,SF,5,0.2128547418890934
2005,SF,7,0.137413671292375
2005,SF,8,0.1069802498073348
2005,SF,9,0.13993049571354996
2005,SF,10,0.12214889678392661
2005,SF,11,0.12437037599822542
2005,SF,12,0.15358568888391078
2005,SF,13,0.16396233513100522
2005,SF,14,0.16558778494414192
2005,SF,15,0.1296591698902404
2005,SF,16,0.1367220405636932
2005,SF,17,0.16057012027255183
2005,STL,2,0.42464813690140146
2005,STL,3,0.5326429137256613
2005,STL,4,0.5572120998206517
2005,STL,5,0.4106411536836712
2005,STL,6,0.40393691683417227
2005,STL,7,0.3611455456502805
2005,STL,8,0.41235937223420666
2005,STL,10,0.4301896543145497
2005,STL,11,0.3965282717995874
2005,STL,12,0.385263293335936
2005,STL,13,0.40892231535210743
2005,STL,14,0.3834539920555646
2005,STL,15,0.36411117894681255
2005,STL,16,0.36834912666817116
2005,STL,17,0.3690309102672839
2005,TB,2,0.8379590276585841
2005,TB,3,0.9339788429865593
2005,TB,4,0.8435220856398098
2005,TB,5,0.8083838813763798
2005,TB,6,0.750586945921629
2005,TB,8,0.7821358107945563
2005,TB,9,0.7296015108057426
2005,TB,10,0.5964952528019413
2005,TB,11,0.5801241371528831
2005,TB,12,0.578662502902813
2005,TB,13,0.5647343344198974
2005,TB,14,0.5844277962674745
2005,TB,15,0.6075040733368289
2005,TB,16,0.5249510922105736
2005,TB,17,0.5300810582483123
2005,TEN,2,0.014264600161337968
2005,TEN,3,0.29870838567769714
2005,TEN,4,0.34455338984780665
2005,TEN,5,0.24037743703755668
2005,TEN,6,0.3681499391048324
2005,TEN,7,0.3567488404645116
2005,TEN,8,0.33044652490216186
2005,TEN,9,0.3263333279067205
2005,TEN,11,0.3221184889846057
2005,TEN,12,0.3354201199335078
2005,TEN,13,0.3784383972562737
2005,TEN,14,0.31565985934736407
2005,TEN,15,0.32859096811082456
2005,TEN,16,0.33410925171245104
2005,TEN,17,0.3167724503215102
2005,WAS,2,0.6622914941381888
2005,WAS,4,0.5925608581567865
2005,WAS,5,0.5993497113025473
2005,WAS,6,0.5445646475776568
2005,WAS,7,0.47622845370081646
2005,WAS,8,0.6737208862887214
2005,WAS,9,0.48044654354332267
2005,WAS,10,0.5133527483043894
2005,WAS,11,0.5072038719606805
2005,WAS,12,0.49665839694010927
2005,WAS,13,0.47874119622098343
2005,WAS,14,0.5226027660907758
2005,WAS,15,0.5318675370054458
2005,WAS,16,0.5970958022641074
2005,WAS,17,0.6205520517805243
2006,ARI,2,0.6497188026533132
2006,ARI,3,0.4419651234822951
2006,ARI,4,0.43442504914219227
2006,ARI,5,0.2841084813791617
2006,ARI,6,0.3081487619798439
2006,ARI,7,0.33651072477470806
2006,ARI,8,0.2987083856776971
2006,ARI,10,0.2651956100464534
2006,ARI,11,0.23647187088007474
2006,ARI,12,0.2707897603270844
2006,ARI,13,0.2841084813791617
2006,ARI,14,0.33801001141935044
2006,ARI,15,0.3648333986267978
2006,ARI,16,0.3422130344270205
2006,ARI,17,0.3641000120087298
2006,ATL,2,0.9618248327603036
2006,ATL,3,0.9724035657460617
2006,ATL,4,0.5960630831658278
2006,ATL,6,0.7909152017644063
2006,ATL,7,0.6213041585383425
2006,ATL,8,0.597527447851433
2006,ATL,9,0.5879174771182784
2006,ATL,10,0.5121429595022553
2006,ATL,11,0.496288147339059
2006,ATL,12,0.4492646548247245
2006,ATL,13,0.4004291712901395
2006,ATL,14,0.43569579049969537
2006,ATL,15,0.46787812467501244
2006,ATL,16,0.4480768052117253
2006,ATL,17,0.43322929157880635
2006,BAL,2,1.0
2006,BAL,3,0.9973689494837379
2006,BAL,4,0.9663464789455374
2006,BAL,5,0.928708015589285
2006,BAL,6,0.8543066990950849
2006,BAL,8,0.7772794251399336
2006,BAL,9,0.7770475373253667
2006,BAL,10,0.760990466860026
2006,BAL,11,0.7284962963651618
2006,BAL,12,0.7511614004213649
2006,BAL,13,0.8041464833401402
2006,BAL,14,0.7789589170332616
2006,BAL,15,0.7856219259115246
2006,BAL,16,0.7847276637435342
2006,BAL,17,0.8109198152714234
2006,BUF,2,0.4260257603040953
2006,BUF,3,0.6778815110153943
